work_id,composer,title,year,source,source_url,license,movement_index,parent_work_id,instrumentation_hint,era
bachjs-bwv860-bwv860-fuga15-bwv860-fuga15,BachJS,Fuga 15 - BWV 860,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV860/BWV860_Fuga15/BWV860_Fuga15.ly,Public Domain,,bachjs-bwv860,piano,classical
bachjs-bwv860-bwv860-praeludium15-bwv860-praeludium15,BachJS,Praeludium 15 - BWV 860,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV860/BWV860_Praeludium15/BWV860_Praeludium15.ly,Public Domain,,bachjs-bwv860,Piano,classical
bachjs-bwv861-bwv861-fuga16-bwv861-fuga16,BachJS,"Das Wohltemperierte Clavier I, Fuga XVI",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV861/BWV861_Fuga16/BWV861_Fuga16.ly,Public Domain,,bachjs-bwv861,"Harpsichord, Piano",classical
bachjs-bwv861-bwv861-praeludium16-bwv861-praeludium16,BachJS,"Das Wohltemperierte Clavier I, Praeludium XVI",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV861/BWV861_Praeludium16/BWV861_Praeludium16.ly,Public Domain,,bachjs-bwv861,"Harpsichord, Piano",classical
bachjs-bwv862-bach-fugue17-bach-fugue17,BachJS,"Das Wohltemperierte Clavier I, Fuga XVII",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV862/bach-fugue17/bach-fugue17.ly,Public Domain,,bachjs-bwv862,"Harpsichord, Piano",baroque
bachjs-bwv862-bach-prelude17-bach-prelude17,BachJS,"Das Wohltemperierte Clavier I, Praeludium XVII",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV862/bach-prelude17/bach-prelude17.ly,Public Domain,,bachjs-bwv862,"Harpsichord, Piano",baroque
bachjs-bwv865-bwv865-fuga20-bwv865-fuga20,BachJS,"Das Wohltemperierte Clavier I, Fuga XX",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV865/BWV865_Fuga20/BWV865_Fuga20.ly,Public Domain,,bachjs-bwv865,"Harpsichord, Piano",classical
bachjs-bwv865-bwv865-praeludium20-bwv865-praeludium20,BachJS,"Das Wohltemperierte Clavier I, Praeludium XX",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV865/BWV865_Praeludium20/BWV865_Praeludium20.ly,Public Domain,,bachjs-bwv865,"Harpsichord, Piano",classical
bachjs-bwv869-bwv869-praeludium24-bwv869-praeludium24,BachJS,"Das Wohltemperierte Clavier I, Praeludium 24",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV869/BWV869_Praeludium24/BWV869_Praeludium24.ly,Public Domain,,bachjs-bwv869,"Harpsichord, Piano",baroque
bachjs-bwv869-bwv869b-lys-bwv869b,BachJS,"Das Wohltemperierte Clavier I, Fuga XXIV",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV869/bwv869b/bwv869b-lys/bwv869b.ly,Public Domain,,bachjs-bwv869,"Harpsichord, Piano",baroque
bachjs-bwv870-wtk2fuga1-wtk2fuga1,BachJS,"Das Wohltemperierte Clavier II, Fuga I",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV870/wtk2fuga1/wtk2fuga1.ly,Public Domain,,bachjs-bwv870,"Harpsichord, Piano",baroque
bachjs-bwv870-wtk2prelude1-wtk2prelude1,BachJS,"Das Wohltemperierte Clavier II, Praeludium I",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV870/wtk2prelude1/wtk2prelude1.ly,Public Domain,,bachjs-bwv870,"Harpsichord, Piano",baroque
bachjs-bwv871-wtk2-fugue2-wtk2-fugue2,BachJS,"Das Wohltemperierte Clavier II, Fuga II",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV871/wtk2-fugue2/wtk2-fugue2.ly,Public Domain,,bachjs-bwv871,"Harpsichord, Piano",baroque
bachjs-bwv871-wtk2-prelude2-wtk2-prelude2,BachJS,"Das Wohltemperierte Clavier II, Praeludium II",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV871/wtk2-prelude2/wtk2-prelude2.ly,Public Domain,,bachjs-bwv871,"Harpsichord, Piano",baroque
bachjs-bwv875-bwv875a-bwv875a,BachJS,"Das Wohltemperierte Clavier II, Praeludium VI",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV875/bwv875a/bwv875a.ly,Public Domain,,bachjs-bwv875,"Harpsichord, Piano",baroque
